id,identifier,height,weight,base_experience,order,is_default,flavor_text
1,bulbasaur,7,69,64,1,1,"A strange seed was
planted on its
back at birth.The plant sprouts
and grows with
this POKéMON."
2,ivysaur,10,130,142,2,1,"When the bulb on
its back grows
large, it appearsto lose the
ability to stand
on its hind legs."
3,venusaur,20,1000,236,3,1,"The plant blooms
when it is
absorbing solarenergy. It stays
on the move to
seek sunlight."
4,charmander,6,85,62,5,1,"Obviously prefers
hot places. When
it rains, steamis said to spout
from the tip of
its tail."
5,charmeleon,11,190,142,6,1,"When it swings
its burning tail,
it elevates thetemperature to
unbearably high
levels."
6,charizard,17,905,240,7,1,"Spits fire that
is hot enough to
melt boulders.Known to cause
forest fires
unintentionally."
7,squirtle,5,90,63,10,1,"After birth, its
back swells and
hardens into ashell. Powerfully
sprays foam from
its mouth."
8,wartortle,10,225,142,11,1,"Often hides in
water to stalk
unwary prey. Forswimming fast, it
moves its ears to
maintain balance."
9,blastoise,16,855,239,12,1,"A brutal POKéMON
with pressurized
water jets on itsshell. They are
used for high
speed tackles."
10,caterpie,3,29,39,14,1,"Its short feet
are tipped with
suction pads thatenable it to
tirelessly climb
slopes and walls."
11,metapod,7,99,72,15,1,"This POKéMON is
vulnerable to
attack while itsshell is soft,
exposing its weak
and tender body."
12,butterfree,11,320,173,16,1,"In battle, it
flaps its wings
at high speed torelease highly
toxic dust into
the air."
13,weedle,3,32,39,17,1,"Often found in
forests, eating
leaves.It has a sharp
venomous stinger
on its head."
14,kakuna,6,100,72,18,1,"Almost incapable
of moving, this
POKéMON can onlyharden its shell
to protect itself
from predators."
15,beedrill,10,295,173,19,1,"Flies at high
speed and attacks
using its largevenomous stingers
on its forelegs
and tail."
16,pidgey,3,18,50,20,1,"A common sight in
forests and woods.
It flaps itswings at ground
level to kick up
blinding sand."
17,pidgeotto,11,300,122,21,1,"Very protective
of its sprawling
territorial area,this POKéMON will
fiercely peck at
any intruder."
18,pidgeot,15,395,211,22,1,"When hunting, it
skims the surface
of water at highspeed to pick off
unwary prey such
as MAGIKARP."
19,rattata,3,35,51,23,1,"Bites anything
when it attacks.
Small and veryquick, it is a
common sight in
many places."
20,raticate,7,185,145,24,1,"It uses its whis­
kers to maintain
its balance.It apparently
slows down if
they are cut off."
21,spearow,3,20,52,25,1,"Eats bugs in
grassy areas. It
has to flap itsshort wings at
high speed to
stay airborne."
22,fearow,12,380,155,26,1,"With its huge and
magnificent wings,
it can keep aloftwithout ever
having to land
for rest."
23,ekans,20,69,58,27,1,"Moves silently
and stealthily.
Eats the eggs ofbirds, such as
PIDGEY and
SPEAROW, whole."
24,arbok,35,650,153,28,1,"It is rumored that
the ferocious
warning markingson its belly
differ from area
to area."
25,pikachu,4,60,105,30,1,"When several of
these POKéMON
gather, theirelectricity could
build and cause
lightning storms."
26,raichu,8,300,214,31,1,"Its long tail
serves as a
ground to protectitself from its
own high voltage
power."
27,sandshrew,6,120,60,32,1,"Burrows deep
underground in
arid locationsfar from water.
It only emerges
to hunt for food."
28,sandslash,10,295,158,33,1,"Curls up into a
spiny ball when
threatened. Itcan roll while
curled up to
attack or escape."
29,nidoran-f,4,70,55,34,1,"Although small,
its venomous
barbs render thisPOKéMON dangerous.
The female has
smaller horns."
30,nidorina,8,200,128,35,1,"The female's horn
develops slowly.
Prefers physicalattacks such as
clawing and
biting."
31,nidoqueen,13,600,223,36,1,"Its hard scales
provide strong
protection. Ituses its hefty
bulk to execute
powerful moves."
32,nidoran-m,5,90,55,37,1,"Stiffens its ears
to sense danger.
The larger itshorns, the more
powerful its
secreted venom."
33,nidorino,9,195,128,38,1,"An aggressive
POKéMON that is
quick to attack.The horn on its
head secretes a
powerful venom."
34,nidoking,14,620,223,39,1,"It uses its
powerful tail in
battle to smash,constrict, then
break the prey's
bones."
35,clefairy,6,75,113,41,1,"Its magical and
cute appeal has
many admirers.It is rare and
found only in
certain areas."
36,clefable,13,400,213,42,1,"A timid fairy
POKéMON that is
rarely seen. Itwill run and hide
the moment it
senses people."
37,vulpix,6,99,60,43,1,"At the time of
birth, it has
just one tail.The tail splits
from its tip as
it grows older."
38,ninetales,11,199,177,44,1,"Very smart and
very vengeful.
Grabbing one ofits many tails
could result in a
1000-year curse."
39,jigglypuff,5,55,95,46,1,"When its huge eyes
light up, it sings
a mysteriouslysoothing melody
that lulls its
enemies to sleep."
40,wigglytuff,10,120,191,47,1,"The body is soft
and rubbery. When
angered, it willsuck in air and
inflate itself to
an enormous size."
41,zubat,8,75,49,48,1,"Forms colonies in
perpetually dark
places. Usesultrasonic waves
to identify and
approach targets."
42,golbat,16,550,159,49,1,"Once it strikes,
it will not stop
draining energyfrom the victim
even if it gets
too heavy to fly."
43,oddish,5,54,64,51,1,"During the day,
it keeps its face
buried in theground. At night,
it wanders around
sowing its seeds."
44,gloom,8,86,138,52,1,"The fluid that
oozes from its
mouth isn't drool.It is a nectar
that is used to
attract prey."
45,vileplume,12,186,216,53,1,"The larger its
petals, the more
toxic pollen itcontains. Its big
head is heavy and
hard to hold up."
46,paras,3,54,57,55,1,"Burrows to suck
tree roots. The
mushrooms on itsback grow by draw­
ing nutrients from
the bug host."
47,parasect,10,295,142,56,1,"A host-parasite
pair in which the
parasite mushroomhas taken over the
host bug. Prefers
damp places."
48,venonat,10,300,61,57,1,"Lives in the
shadows of tall
trees where iteats insects. It
is attracted by
light at night."
49,venomoth,15,125,158,58,1,"The dust-like
scales covering
its wings arecolor coded to
indicate the kinds
of poison it has."
50,diglett,2,8,53,59,1,"Lives about one
yard underground
where it feeds onplant roots. It
sometimes appears
above ground."
51,dugtrio,7,333,142,60,1,"A team of DIGLETT
triplets.
It triggers hugeearthquakes by
burrowing 60 miles
underground."
52,meowth,4,42,58,61,1,"Adores circular
objects. Wanders
the streets on anightly basis to
look for dropped
loose change."
53,persian,10,320,154,62,1,"Although its fur
has many admirers,
it is tough toraise as a pet
because of its
fickle meanness."
54,psyduck,8,196,64,63,1,"While lulling its
enemies with its
vacant look, thiswily POKéMON will
use psychokinetic
powers."
55,golduck,17,766,175,64,1,"Often seen swim­
ming elegantly by
lake shores. Itis often mistaken
for the Japanese
monster, Kappa."
56,mankey,5,280,61,65,1,"Extremely quick to
anger. It could
be docile onemoment then
thrashing away
the next instant."
57,primeape,10,320,159,66,1,"Always furious
and tenacious to
boot. It will notabandon chasing
its quarry until
it is caught."
58,growlithe,7,190,70,67,1,"Very protective
of its territory.
It will bark andbite to repel
intruders from
its space."
59,arcanine,19,1550,194,68,1,"A POKéMON that
has been admired
since the pastfor its beauty.
It runs agilely
as if on wings."
60,poliwag,6,124,60,69,1,"Its newly grown
legs prevent it
from running. Itappears to prefer
swimming than
trying to stand."
61,poliwhirl,10,200,135,70,1,"Capable of living
in or out of
water. When outof water, it
sweats to keep
its body slimy."
62,poliwrath,13,540,225,71,1,"An adept swimmer
at both the front
crawl and breaststroke. Easily
overtakes the best
human swimmers."
63,abra,9,195,62,73,1,"Using its ability
to read minds, it
will identifyimpending danger
and TELEPORT to
safety."
64,kadabra,13,565,140,74,1,"It emits special
alpha waves from
its body thatinduce headaches
just by being
close by."
65,alakazam,15,480,221,75,1,"Its brain can out­
perform a super­
computer.Its intelligence
quotient is said
to be 5,000."
66,machop,8,195,61,77,1,"Loves to build
its muscles.
It trains in allstyles of martial
arts to become
even stronger."
67,machoke,15,705,142,78,1,"Its muscular body
is so powerful, it
must wear a powersave belt to be
able to regulate
its motions."
68,machamp,16,1300,227,79,1,"Using its heavy
muscles, it throws
powerful punchesthat can send the
victim clear over
the horizon."
69,bellsprout,7,40,60,80,1,"A carnivorous
POKéMON that traps
and eats bugs.It uses its root
feet to soak up
needed moisture."
70,weepinbell,10,64,137,81,1,"It spits out
POISONPOWDER to
immobilize theenemy and then
finishes it with
a spray of ACID."
71,victreebel,17,155,216,82,1,"Said to live in
huge colonies
deep in jungles,although no one
has ever returned
from there."
72,tentacool,9,455,67,83,1,"Drifts in shallow
seas. Anglers who
hook them byaccident are
often punished by
its stinging acid."
73,tentacruel,16,550,180,84,1,"The tentacles are
normally kept
short. On hunts,they are extended
to ensnare and
immobilize prey."
74,geodude,4,200,60,85,1,"Found in fields
and mountains.
Mistaking themfor boulders,
people often step
or trip on them."
75,graveler,10,1050,137,86,1,"Rolls down slopes
to move. It rolls
over any obstaclewithout slowing
or changing its
direction."
76,golem,14,3000,218,87,1,"Its boulder-like
body is extremely
hard. It caneasily withstand
dynamite blasts
without damage."
77,ponyta,10,300,82,88,1,"Its hooves are 10
times harder than
diamonds. It cantrample anything
completely flat
in little time."
78,rapidash,17,950,175,89,1,"Very competitive,
this POKéMON will
chase anythingthat moves fast
in the hopes of
racing it."
79,slowpoke,12,360,63,90,1,"Incredibly slow
and dopey. It
takes 5 secondsfor it to feel
pain when under
attack."
80,slowbro,16,785,172,91,1,"The SHELLDER that
is latched onto
SLOWPOKE's tailis said to feed
on the host's left
over scraps."
81,magnemite,3,60,65,93,1,"Uses anti-gravity
to stay suspended.
Appears withoutwarning and uses
THUNDER WAVE and
similar moves."
82,magneton,10,600,163,94,1,"Formed by several
MAGNEMITEs linked
together. Theyfrequently appear
when sunspots
flare up."
83,farfetchd,8,150,123,96,1,"The sprig of
green onions it
holds is itsweapon. It is
used much like a
metal sword."
